Rk,Player,Twitter
1874,Rayan Rupert,rayanrupert12
1875,Brandon Rush,BRush_25
1876,Kareem Rush,kareemrush
1877,Bill Russell,realbillrussell
1878,Bryon Russell,BRuss3
1879,Matt Ryan,Matt_Ryan04
1880,Robert Sacre,Bobby_Sacre
1881,Tidjane Salaün,TidjaneSalaun
1882,John Salley,thejohnsalley
1883,Jermaine Samuels,J_Swizz23
1884,Jamarr Sanders,2_E_A_Z_Y
1885,Larry Sanders,l8show_thegoat
1886,Adama Sanogo,
1887,Gui Santos,guisantos_4
1888,Dario Šarić,dariosaric
1889,Alex Sarr,alexandresarr_
1890,Olivier Sarr,sarr_olivier
1891,Marcus Sasser,m_sasser0
1892,Wesley Saunders,shyxxm
1893,Brian Scalabrine,Scalabrine
1894,Jordan Schakel,jordanschakel
1895,Baylor Scheierman,playforhim3
1896,Detlef Schrempf,Dschrempf
1897,Luis Scola,LScola4
1898,Dennis Scott,dennis3dscott
1899,Mike Scott,mikescott
1900,Tre Scott,trescott13
1901,Dereon Seabron,DBSeabron1
1902,Jeremy Senglin,Jsenglin_30
1903,Alperen Sengun,alperennsengun
1904,Brice Sensabaugh,bricepsensa
1905,Ramon Sessions,SessionsRamon
1906,Nate Sestina,NateSestina23
1907,Jaden Shackelford,jayunooo
1908,Terrence Shannon Jr.,sn1per_t
1909,Jamarion Sharp,Jaammaarion
1910,Day'Ron Sharpe,dayron_sharpe
1911,Shaedon Sharpe,ShaedonSharpe
1912,Jamal Shead,thejshead
1913,Ben Sheppard,shepben2
1914,Reed Sheppard,reed_sheppard
1915,Simisola Shittu,LanX_Sims
1916,Devontae Shuler,Devontae_Shuler
1917,Iman Shumpert,imanshumpert
1918,Luke Sikma,LCSikma43
1919,Bobby Simmons,bobbysimmons21
1920,Aamir Simms,EarlShmitty_
1921,Justin Simon,simon_Says_so
1922,Marko Simonovic,simke12
1923,KJ Simpson,ksimpsonjr
1924,Henry Sims,H_Sims14
1925,Jaylen Sims,jaylen_sims
1926,Kyle Singler,KyleSingler
1927,Chris Singleton,C_SING31
1928,David Singleton,davesingleton34
1929,Peyton Siva,PeypeySiva3
1930,Brandon Slater,jbrandonslater
1931,A.J. Slaughter,ajslaughter8
1932,Jalen Slawson,jalenslawson
1933,Tamar Slay,slay9
1934,Donald Sloan,dsloan15
1935,Javonte Smart,JavonteSmart
1936,Marcus Smart,smart_MS3
1937,Chris Smith,SCS599
1938,Craig Smith,Csmeezy1
1939,Dru Smith,dru_smith_12
1940,Greg Smith,Ju_Smith4
1941,Ish Smith,IshSmith
1942,J.R. Smith,TheRealJRSmith
1943,Jabari Smith Jr.,jabarismithjr
1944,Jason Smith,JasonSmith014
